wavelength,ex,em,2p
627,,0.2158,
628,,0.2095,
629,,0.2023,
630,,0.1957,
631,,0.1897,
632,,0.1815,
633,,0.1756,
634,,0.1692,
635,,0.1633,
636,,0.1575,
637,,0.1527,
638,,0.1479,
639,,0.1439,
640,,0.1387,3.0211
641,,0.1341,2.9941
642,,0.1299,2.9726
643,,0.1275,2.9565
644,,0.1236,2.9459
645,,0.1188,2.9418
646,,0.1159,2.9434
647,,0.1113,2.953
648,,0.1085,2.9646
649,,0.1059,2.9719
650,,0.1026,2.9682
651,,0.0996,2.953
652,,0.0975,2.9205
653,,0.0953,2.8671
654,,0.0909,2.7976
655,,0.0896,2.7188
656,,0.0856,2.6314
657,,0.083,2.5436
658,,0.0797,2.4595
659,,0.0784,2.3835
660,,0.0767,2.3116
661,,0.0739,2.2432
662,,0.0721,2.177
663,,0.07,2.1069
664,,0.0686,2.0398
665,,0.0663,1.9806
666,,0.0632,1.9257
667,,0.0623,1.8721
668,,0.0614,1.8208
669,,0.0586,1.7714
670,,0.0572,1.7197
671,,0.0557,1.661
672,,0.0535,1.6014
673,,0.0525,1.5443
674,,0.051,1.4903
675,,0.0493,1.4396
676,,0.0472,1.3944
677,,0.0462,1.3544
678,,0.0447,1.3203
679,,0.0435,1.2918
680,,0.0416,1.2685
681,,0.041,1.2471
682,,0.0398,1.2271
683,,0.0378,1.2053
684,,0.0371,1.1845
685,,0.0354,1.1654
686,,0.0348,1.151
687,,0.0337,1.1434
688,,0.0323,1.1395
689,,0.0316,1.1372
690,,0.0298,1.134
691,,0.0291,1.1252
692,,0.0283,1.1143
693,,0.0271,1.1053
694,,0.0268,1.0965
695,,0.026,1.0856
696,,0.0242,1.0735
697,,0.0239,1.0614
698,,0.0238,1.049
699,,0.023,1.0359
700,,0.0217,1.0262
701,,,1.0249
702,,,1.0246
703,,,1.0197
704,,,1.0112
705,,,0.9987
706,,,0.9836
707,,,0.9688
708,,,0.9551
709,,,0.9437
710,,,0.9311
711,,,0.9161
712,,,0.8988
713,,,0.8797
714,,,0.8593
715,,,0.8382
716,,,0.8155
717,,,0.7901
718,,,0.7655
719,,,0.745
720,,,0.7294
721,,,0.719
722,,,0.7124
723,,,0.7089
724,,,0.7057
725,,,0.6999
726,,,0.6918
727,,,0.6817
728,,,0.6677
729,,,0.6488
730,,,0.6265
731,,,0.6032
732,,,0.5784
733,,,0.5534
734,,,0.5282
735,,,0.5033
736,,,0.4781
737,,,0.4522
738,,,0.4269
739,,,0.4027
740,,,0.3803
741,,,0.3608
742,,,0.343
743,,,0.3258
744,,,0.3087
745,,,0.2892
746,,,0.2703
747,,,0.255
748,,,0.243
749,,,0.2326
750,,,0.2229
751,,,0.2133
752,,,0.2022
753,,,0.1875
754,,,0.1728
755,,,0.16
756,,,0.1479
757,,,0.1367
758,,,0.1271
759,,,0.1187
760,,,0.1108
761,,,0.1029
762,,,0.0952
763,,,0.0875
764,,,0.0806
765,,,0.0744
766,,,0.0685
767,,,0.0629
768,,,0.0579
769,,,0.0529
770,,,0.0482
771,,,0.0445
772,,,0.0412
773,,,0.0375
774,,,0.0344
775,,,0.0321
776,,,0.0302
777,,,0.0286
778,,,0.0276
779,,,0.027
780,,,0.0266
781,,,0.0253
782,,,0.0245
783,,,0.0263
784,,,0.0294
785,,,0.0331
786,,,0.0355
787,,,0.0347
788,,,0.0312
789,,,0.0251
790,,,0.0195
791,,,0.0166
792,,,0.0157
793,,,0.0165
794,,,0.018
795,,,0.0187
796,,,0.0193
797,,,0.0202
798,,,0.021
799,,,0.0211
800,,,0.0207
801,,,0.0201
802,,,0.0194
803,,,0.0184
804,,,0.0178
805,,,0.0183
806,,,0.0191
807,,,0.0196
808,,,0.0203
809,,,0.0209
810,,,0.0213
811,,,0.0218
812,,,0.0223
813,,,0.0226
814,,,0.0228
815,,,0.0234
816,,,0.0238
817,,,0.0232
818,,,0.0226
819,,,0.0233
820,,,0.0244
821,,,0.025
822,,,0.0257
823,,,0.0267
824,,,0.0274
825,,,0.0271
826,,,0.0268
827,,,0.0276
828,,,0.0285
829,,,0.0292
830,,,0.03
831,,,0.0307
832,,,0.0314
833,,,0.0321
834,,,0.0329
835,,,0.0336
836,,,0.0344
837,,,0.0354
838,,,0.0365
839,,,0.0374
840,,,0.0382
841,,,0.0389
842,,,0.0395
843,,,0.0406
844,,,0.0419
845,,,0.0432
846,,,0.0444
847,,,0.0455
848,,,0.0465
849,,,0.0475
850,,,0.0488
851,,,0.0506
852,,,0.0524
853,,,0.0542
854,,,0.0561
855,,,0.0581
856,,,0.0603
857,,,0.0625
858,,,0.0646
859,,,0.0664
860,,,0.0683
861,,,0.0706
862,,,0.0731
863,,,0.0755
864,,,0.0778
865,,,0.0803
866,,,0.0827
867,,,0.0848
868,,,0.0868
869,,,0.0886
870,,,0.0903
871,,,0.0928
872,,,0.0956
873,,,0.0979
874,,,0.0997
875,,,0.1014
876,,,0.1028
877,,,0.1029
878,,,0.1033
879,,,0.1055
880,,,0.1081
881,,,0.1095
882,,,0.111
883,,,0.1132
884,,,0.1154
885,,,0.1172
886,,,0.1194
887,,,0.122
888,,,0.1244
889,,,0.1265
890,,,0.1288
891,,,0.1318
892,,,0.1349
893,,,0.1376
894,,,0.1398
895,,,0.1414
896,,,0.1432
897,,,0.1459
898,,,0.1491
899,,,0.1526
900,,,0.1559
901,,,0.1592
902,,,0.1625
903,,,0.1659
904,,,0.1694
905,,,0.1727
906,,,0.1756
907,,,0.1785
908,,,0.1818
909,,,0.1857
910,,,0.1898
911,,,0.1936
912,,,0.1971
913,,,0.2003
914,,,0.2039
915,,,0.2083
916,,,0.2131
917,,,0.2182
918,,,0.223
919,,,0.2273
920,,,0.2314
921,,,0.2356
922,,,0.24
923,,,0.2443
924,,,0.2485
925,,,0.2527
926,,,0.2568
927,,,0.261
928,,,0.2653
929,,,0.2696
930,,,0.2738
931,,,0.2781
932,,,0.2822
933,,,0.2853
934,,,0.2879
935,,,0.291
936,,,0.2942
937,,,0.2973
938,,,0.3004
939,,,0.3035
940,,,0.3057
941,,,0.3065
942,,,0.3067
943,,,0.3068
944,,,0.3064
945,,,0.3058
946,,,0.3048
947,,,0.3037
948,,,0.3025
949,,,0.3011
950,,,0.2994
951,,,0.2975
952,,,0.2955
953,,,0.2936
954,,,0.2922
955,,,0.292
956,,,0.2924
957,,,0.2924
958,,,0.2924
959,,,0.2923
960,,,0.2921
961,,,0.2918
962,,,0.2919
963,,,0.2921
964,,,0.2925
965,,,0.2939
966,,,0.2961
967,,,0.2987
968,,,0.3016
969,,,0.3044
970,,,0.3068
971,,,0.3085
972,,,0.3105
973,,,0.3131
974,,,0.316
975,,,0.3195
976,,,0.3236
977,,,0.3271
978,,,0.3312
979,,,0.337
980,,,0.344
981,,,0.3513
982,,,0.359
983,,,0.367
984,,,0.3742
985,,,0.3794
986,,,0.3848
987,,,0.3919
988,,,0.4
989,,,0.4081
990,,,0.4165
991,,,0.425
992,,,0.4334
993,,,0.4417
994,,,0.4506
995,,,0.4605
996,,,0.4703
997,,,0.4784
998,,,0.4866
999,,,0.4971
1000,,,0.5091
1001,,,0.5215
1002,,,0.5341
1003,,,0.5464
1004,,,0.5581
1005,,,0.5684
1006,,,0.5796
1007,,,0.5934
1008,,,0.6079
1009,,,0.6223
1010,,,0.6364
1011,,,0.6491
1012,,,0.6614
1013,,,0.6741
1014,,,0.6874
1015,,,0.7007
1016,,,0.7144
1017,,,0.7291
1018,,,0.7438
1019,,,0.7578
1020,,,0.7719
1021,,,0.7876
1022,,,0.8026
1023,,,0.8145
1024,,,0.8248
1025,,,0.8357
1026,,,0.8459
1027,,,0.854
1028,,,0.8617
1029,,,0.8722
1030,,,0.8817
1031,,,0.8863
1032,,,0.8885
1033,,,0.8906
1034,,,0.8915
1035,,,0.8903
1036,,,0.891
1037,,,0.898
1038,,,0.9067
1039,,,0.9139
1040,,,0.9208
1041,,,0.9272
1042,,,0.9329
1043,,,0.939
1044,,,0.9459
1045,,,0.9533
1046,,,0.9592
1047,,,0.9625
1048,,,0.9637
1049,,,0.9624
1050,,,0.9612
1051,,,0.9638
1052,,,0.9668
1053,,,0.9669
1054,,,0.9655
1055,,,0.9653
1056,,,0.9644
1057,,,0.959
1058,,,0.9537
1059,,,0.9535
1060,,,0.9545
1061,,,0.9526
1062,,,0.9516
1063,,,0.9541
1064,,,0.9568
1065,,,0.9566
1066,,,0.9578
1067,,,0.9636
1068,,,0.9699
1069,,,0.9731
1070,,,0.9753
1071,,,0.9781
1072,,,0.9802
1073,,,0.9805
1074,,,0.9812
1075,,,0.9848
1076,,,0.9891
1077,,,0.9931
1078,,,0.9967
1079,,,0.9997
1080,,,1.0
1081,,,0.9972
1082,,,0.9913
1083,,,0.9818
1084,,,0.9695
1085,,,0.9563
1086,,,0.9429
1087,,,0.932
1088,,,0.9222
1089,,,0.9125
1090,,,0.9013
1091,,,0.8869
1092,,,0.8716
1093,,,0.8587
1094,,,0.8463
1095,,,0.8311
1096,,,0.8139
1097,,,0.7982
1098,,,0.7827
1099,,,0.766
1100,,,0.7486
1101,,,0.7308
1102,,,0.7086
1103,,,0.6791
1104,,,0.6486
1105,,,0.6209
1106,,,0.595
1107,,,0.5724
1108,,,0.5516
1109,,,0.5314
1110,,,0.5105
1111,,,0.4858
1112,,,0.4595
1113,,,0.4343
1114,,,0.4109
1115,,,0.3891
1116,,,0.3691
1117,,,0.3527
1118,,,0.3364
1119,,,0.3156
1120,,,0.2934
1121,,,0.2716
1122,,,0.2489
1123,,,0.2239
1124,,,0.2005
1125,,,0.1817
1126,,,0.165
1127,,,0.1485
1128,,,0.1335
1129,,,0.1203
1130,,,0.1082
1131,,,0.096
1132,,,0.0851
1133,,,0.076
1134,,,0.068
1135,,,0.0602
1136,,,0.0534
1137,,,0.0471
1138,,,0.0416
1139,,,0.0367
1140,,,0.0328
1141,,,0.0297
1142,,,0.0275
1143,,,0.0256
1144,,,0.024
1145,,,0.0225
1146,,,0.0212
1147,,,0.0199
1148,,,0.0187
1149,,,0.0176
1150,,,0.0166
1151,,,0.0155
1152,,,0.0146
1153,,,0.0137
1154,,,0.0129
1155,,,0.0121
1156,,,0.0115
1157,,,0.0109
1158,,,0.0104
1159,,,0.0098
1160,,,0.0092
1161,,,0.0085
1162,,,0.0077
1163,,,0.007
1164,,,0.0063
1165,,,0.0056
1166,,,0.005
1167,,,0.0045
1168,,,0.0041
1169,,,0.0037
1170,,,0.0034
1171,,,0.0031
1172,,,0.0029
1173,,,0.0026
1174,,,0.0023
1175,,,0.0021
1176,,,0.002
1177,,,0.0018
1178,,,0.0017
1179,,,0.0016
1180,,,0.0014
1181,,,0.0013
1182,,,0.0012
1183,,,0.0011
1184,,,0.0011
1185,,,0.001
1186,,,0.0009
1187,,,0.0009
1188,,,0.0008
1189,,,0.0007
1190,,,0.0007
1191,,,0.0006
1192,,,0.0006
1193,,,0.0006
1194,,,0.0005
1195,,,0.0005
1196,,,0.0005
1197,,,0.0004
1198,,,0.0004
1199,,,0.0004
1200,,,0.0004
1201,,,0.0004
1202,,,0.0003
1203,,,0.0003
1204,,,0.0003
1205,,,0.0003
1206,,,0.0002
1207,,,0.0002
1208,,,0.0002
1209,,,0.0002
1210,,,0.0002
1211,,,0.0002
1212,,,0.0002
1213,,,0.0002
1214,,,0.0001
1215,,,0.0001
1216,,,0.0001
1217,,,0.0001
1218,,,0.0001
1219,,,0.0001
1220,,,0.0001
1221,,,0.0001
1222,,,0.0001
1223,,,0.0001
1224,,,0.0001
1225,,,0.0001
1226,,,0.0001
1227,,,0.0001
1228,,,0.0
1229,,,0.0
1230,,,0.0
1231,,,0.0001
1232,,,0.0001
1233,,,0.0001
1234,,,0.0001
1235,,,0.0001
1236,,,0.0001
1237,,,0.0001
1238,,,0.0
1239,,,0.0
1240,,,0.0
1241,,,0.0
1242,,,0.0
1243,,,0.0
1244,,,0.0
1245,,,0.0
1246,,,0.0
1247,,,0.0
1248,,,0.0
1249,,,0.0
1250,,,0.0
1251,,,0.0
1252,,,0.0
1253,,,0.0
1254,,,0.0
1255,,,0.0
1256,,,0.0
1257,,,0.0
1258,,,0.0
1259,,,0.0
1260,,,0.0
1261,,,0.0
1262,,,0.0
1263,,,0.0
1264,,,0.0
1265,,,0.0
1266,,,0.0
1267,,,0.0
1268,,,0.0
1269,,,0.0
1270,,,0.0
1271,,,0.0
1272,,,0.0
1273,,,0.0
1274,,,0.0
1275,,,0.0
1276,,,0.0
1277,,,0.0
1278,,,0.0
1279,,,0.0
1280,,,0.0
1281,,,0.0
1282,,,0.0001
1283,,,0.0001
1284,,,0.0001
1285,,,0.0001
1286,,,0.0001
1287,,,0.0
1288,,,0.0
1289,,,0.0
1290,,,0.0
1291,,,0.0
1292,,,0.0
1293,,,0.0
1294,,,0.0
1295,,,0.0
1296,,,0.0
1297,,,0.0
1298,,,0.0
1299,,,0.0
1300,,,0.0
1301,,,0.0
1302,,,0.0
1303,,,0.0
1304,,,0.0
1305,,,0.0
1306,,,0.0
1307,,,0.0
1308,,,0.0
1309,,,0.0
1310,,,0.0
1311,,,0.0
1312,,,0.0
1313,,,0.0
1314,,,0.0
1315,,,0.0
1316,,,0.0
1317,,,0.0
1318,,,0.0
1319,,,0.0
1320,,,0.0
1321,,,0.0
1322,,,0.0
1323,,,0.0
1324,,,0.0
1325,,,0.0
1326,,,0.0
1327,,,0.0
1328,,,0.0
1329,,,0.0
1330,,,0.0
1331,,,0.0
1332,,,0.0
1333,,,0.0
1334,,,0.0
1335,,,0.0
1336,,,0.0
1337,,,0.0
1338,,,0.0
1339,,,0.0
1340,,,0.0
1341,,,0.0
1342,,,0.0
1343,,,0.0
1344,,,0.0
1345,,,0.0
1346,,,0.0
1347,,,0.0
1348,,,0.0
1349,,,0.0
1350,,,0.0
1351,,,0.0
1352,,,0.0
1353,,,0.0
1354,,,0.0
1355,,,0.0
1356,,,0.0
1357,,,0.0
1358,,,0.0
1359,,,0.0
1360,,,0.0
1361,,,0.0
1362,,,0.0
1363,,,0.0
1364,,,0.0
1365,,,0.0001
1366,,,0.0001
1367,,,0.0001
1368,,,0.0001
1369,,,0.0
1370,,,0.0
1371,,,0.0
1372,,,0.0
1373,,,0.0
1374,,,0.0
1375,,,0.0
1376,,,0.0
1377,,,0.0
1378,,,0.0
1379,,,0.0
1380,,,0.0
1381,,,0.0
1382,,,0.0
1383,,,0.0
1384,,,0.0
1385,,,0.0
1386,,,0.0001
1387,,,0.0001
1388,,,0.0001
1389,,,0.0001
1390,,,0.0
1391,,,0.0
1392,,,0.0
1393,,,0.0
1394,,,0.0
1395,,,0.0
1396,,,0.0
1397,,,0.0
1398,,,0.0
1399,,,0.0
