wavelength,ex,em,2p
606,,,0.3771
607,,,0.3742
608,,,0.3733
609,,,0.3744
610,,,0.373
611,,,0.3643
612,,,0.3538
613,,,0.3458
614,,,0.3414
615,,,0.3425
616,,,0.3459
617,,,0.3478
618,,,0.3484
619,,,0.3492
620,,,0.3507
621,,,0.3505
622,,,0.3496
623,,,0.3512
624,,,0.3522
625,,,0.3494
626,,,0.3471
627,,,0.3492
628,,,0.3506
629,,,0.3482
630,,,0.3447
631,,,0.3414
632,,,0.3368
633,,,0.3316
634,,,0.3269
635,,,0.323
636,,,0.3193
637,,,0.3162
638,,,0.3133
639,,,0.3105
640,,,0.3085
641,,,0.3077
642,,,0.3067
643,,,0.3042
644,,,0.301
645,,,0.2976
646,,,0.2939
647,,,0.2896
648,,,0.2851
649,,,0.2815
650,,,0.2778
651,,,0.2723
652,,,0.2665
653,,,0.2626
654,,,0.259
655,,,0.2541
656,,,0.2491
657,,,0.2454
658,,,0.2408
659,,,0.2332
660,,,0.2257
661,,,0.2207
662,,,0.2162
663,,,0.2107
664,,,0.2055
665,,,0.2012
666,,,0.1969
667,,,0.1917
668,,,0.1871
669,,,0.1833
670,,,0.1804
671,,,0.1793
672,,,0.1799
673,,,0.1814
674,,,0.1834
675,,,0.1856
676,,,0.1876
677,,,0.1879
678,,,0.1891
679,,,0.1937
680,,,0.1994
681,,,0.204
682,,,0.2082
683,,,0.2113
684,,,0.2142
685,,,0.2187
686,,,0.2244
687,,,0.2292
688,,,0.2331
689,,,0.2379
690,,,0.243
691,,,0.247
692,,,0.2515
693,,,0.2562
694,,,0.2612
695,,,0.2677
696,,,0.2787
697,,,0.2951
698,,,0.3144
699,,,0.3358
700,,,0.3562
701,,,0.3709
702,,,0.384
703,,,0.3997
704,,,0.4147
705,,,0.427
706,,,0.4372
707,,,0.4465
708,,,0.453
709,,,0.4572
710,,,0.46
711,,,0.4592
712,,,0.4576
713,,,0.4603
714,,,0.4677
715,,,0.4789
716,,,0.4942
717,,,0.513
718,,,0.5312
719,,,0.5439
720,,,0.5585
721,,,0.5803
722,,,0.6044
723,,,0.6269
724,,,0.6482
725,,,0.6694
726,,,0.6884
727,,,0.6994
728,,,0.711
729,,,0.7327
730,,,0.7605
731,,,0.7958
732,,,0.831
733,,,0.8572
734,,,0.8695
735,,,0.858
736,,,0.8436
737,,,0.8509
738,,,0.8722
739,,,0.9044
