wavelength,ex,em,2p
701,,,0.0716
702,,,0.0708
703,,,0.0699
704,,,0.0691
705,,,0.0695
706,,,0.0699
707,,,0.0703
708,,,0.0707
709,,,0.0719
710,,,0.073
711,,,0.0741
712,,,0.0753
713,,,0.0765
714,,,0.0776
715,,,0.0788
716,,,0.08
717,,,0.0817
718,,,0.0835
719,,,0.0853
720,,,0.0871
721,,,0.0915
722,,,0.0959
723,,,0.1002
724,,,0.1046
725,,,0.1072
726,,,0.1098
727,,,0.1124
728,,,0.1151
729,,,0.1159
730,,,0.1166
731,,,0.1174
732,,,0.1182
733,,,0.1188
734,,,0.1194
735,,,0.12
736,,,0.1206
737,,,0.1206
738,,,0.1206
739,,,0.1206
740,,,0.1206
741,,,0.1222
742,,,0.1238
743,,,0.1254
744,,,0.127
745,,,0.1297
746,,,0.1323
747,,,0.135
748,,,0.1377
749,,,0.1384
750,,,0.1391
751,,,0.1398
752,,,0.1405
753,,,0.1419
754,,,0.1433
755,,,0.1447
756,,,0.1461
757,,,0.1482
758,,,0.1503
759,,,0.1524
760,,,0.1546
761,,,0.1557
762,,,0.1569
763,,,0.1581
764,,,0.1593
765,,,0.1618
766,,,0.1644
767,,,0.167
768,,,0.1695
769,,,0.1718
770,,,0.174
771,,,0.1763
772,,,0.1786
773,,,0.1805
774,,,0.1824
775,,,0.1844
776,,,0.1863
777,,,0.1908
778,,,0.1952
779,,,0.1997
780,,,0.2041
781,,,0.2054
782,,,0.2066
783,,,0.2079
784,,,0.2091
785,,,0.2127
786,,,0.2162
787,,,0.2197
788,,,0.2233
789,,,0.2259
790,,,0.2285
791,,,0.2312
792,,,0.2338
793,,,0.2469
794,,,0.2599
795,,,0.273
796,,,0.286
797,,,0.2799
798,,,0.2738
799,,,0.2677
800,,,0.2616
801,,,0.2633
802,,,0.265
803,,,0.2667
804,,,0.2684
805,,,0.2698
806,,,0.2712
807,,,0.2725
808,,,0.2739
809,,,0.279
810,,,0.2841
811,,,0.2892
812,,,0.2943
813,,,0.2969
814,,,0.2995
815,,,0.3021
816,,,0.3047
817,,,0.3093
818,,,0.3139
819,,,0.3185
820,,,0.323
821,,,0.3278
822,,,0.3326
823,,,0.3374
824,,,0.3422
825,,,0.3482
826,,,0.3542
827,,,0.3602
828,,,0.3662
829,,,0.3825
830,,,0.3988
831,,,0.4151
832,,,0.4314
833,,,0.4323
834,,,0.4332
835,,,0.4341
836,,,0.4351
837,,,0.436
838,,,0.4369
839,,,0.4378
840,,,0.4387
841,,,0.4392
842,,,0.4396
843,,,0.4401
844,,,0.4405
845,,,0.4464
846,,,0.4523
847,,,0.4582
848,,,0.464
849,,,0.4708
850,,,0.4775
851,,,0.4843
852,,,0.4911
853,,,0.4963
854,,,0.5016
855,,,0.5069
856,,,0.5122
857,,,0.5214
858,,,0.5307
859,,,0.5399
860,,,0.5492
861,,,0.5559
862,,,0.5626
863,,,0.5693
864,,,0.576
865,,,0.5841
866,,,0.5922
867,,,0.6002
868,,,0.6083
869,,,0.6149
870,,,0.6214
871,,,0.628
872,,,0.6346
873,,,0.645
874,,,0.6554
875,,,0.6658
876,,,0.6763
877,,,0.6841
878,,,0.6919
879,,,0.6997
880,,,0.7076
881,,,0.7215
882,,,0.7355
883,,,0.7495
884,,,0.7635
885,,,0.7708
886,,,0.7781
887,,,0.7854
888,,,0.7928
889,,,0.8022
890,,,0.8117
891,,,0.8212
892,,,0.8306
893,,,0.8463
894,,,0.862
895,,,0.8776
896,,,0.8933
897,,,0.9085
898,,,0.9237
899,,,0.939
900,,,0.9542
901,,,0.9516
902,,,0.9491
903,,,0.9466
904,,,0.944
905,,,0.9508
906,,,0.9576
907,,,0.9644
908,,,0.9712
909,,,0.9662
